2.22E-14	3.19E-27	4.73E-15
2.23E-14	3.19E-26	4.76E-15
2.30E-14	3.19E-25	4.91E-15
3.28E-14	3.83E-24	6.99E-15
4.63E-14	4.43E-23	9.90E-15
1.27E-13	5.37E-22	2.72E-14
5.99E-13	1.84E-20	1.27E-13
3.25E-12	6.01E-19	6.93E-13
2.95E-11	3.08E-17	6.29E-12
7.41E-11	1.57E-16	1.58E-11
1.86E-10	7.68E-16	3.97E-11
4.67E-10	3.64E-15	9.98E-11
1.17E-09	1.66E-14	2.51E-10
2.95E-09	7.33E-14	6.29E-10
7.41E-09	3.08E-13	1.58E-09
1.86E-08	1.24E-12	3.97E-09
2.34E-08	1.66E-12	5.00E-09
4.68E-08	4.54E-12	9.98E-09
9.33E-08	1.21E-11	1.99E-08
1.86E-07	3.18E-11	3.97E-08
3.72E-07	8.23E-11	7.92E-08
7.42E-07	2.11E-10	1.58E-07
9.34E-07	2.76E-10	1.99E-07
1.48E-06	5.15E-10	3.15E-07
2.35E-06	9.58E-10	5.00E-07
2.95E-06	1.31E-09	6.29E-07
3.72E-06	1.59E-09	7.92E-07
4.68E-06	2.17E-09	9.98E-07
7.42E-06	4.02E-09	1.58E-06
1.18E-05	7.45E-09	2.51E-06
1.87E-05	1.38E-08	3.97E-06
2.35E-05	1.79E-08	5.00E-06
2.96E-05	2.43E-08	6.29E-06
3.72E-05	3.31E-08	7.92E-06
4.69E-05	4.50E-08	9.98E-06
5.91E-05	6.13E-08	1.26E-05
7.44E-05	7.91E-08	1.58E-05
9.36E-05	1.08E-07	1.99E-05
0.000117906	1.46E-07	2.51E-05
0.000148485	1.88E-07	3.15E-05
0.000187005	2.56E-07	3.97E-05
0.000235473	3.48E-07	5.00E-05
0.000296461	4.73E-07	6.29E-05
0.000373614	6.43E-07	7.92E-05
0.000470267	8.21E-07	9.98E-05
0.000521138	9.14E-07	0.000110495
0.000592356	1.04E-06	0.000125594
0.000746097	1.41E-06	0.000158093
0.000939687	1.84E-06	0.000198991
0.00118358	2.48E-06	0.000250588
0.00126045	2.49E-06	0.000266988
0.0014775	2.64E-06	0.000312586
0.00186807	2.88E-06	0.000395082
0.00225073	3.11E-06	0.000475878
0.00274926	3.42E-06	0.000581173
0.00338005	3.85E-06	0.000714267
0.00415723	4.42E-06	0.000878559
0.00511619	6.13E-06	0.00098523
0.0106016	1.59E-05	0.00214649
0.0160869	2.57E-05	0.00330774
0.0215724	3.55E-05	0.00446899
0.0270577	4.52E-05	0.00563026
0.0325431	5.50E-05	0.00679151
0.0336402	5.70E-05	0.00702376
0.0347373	5.89E-05	0.00725602
0.0358343	6.09E-05	0.00748827
  0.24005E+00  0.11002E-02  0.50000E-01
  0.24881E+00  0.11826E-02  0.51812E-01
  0.25757E+00  0.12681E-02  0.53625E-01
  0.26634E+00  0.13566E-02  0.55438E-01
  0.27511E+00  0.14480E-02  0.57250E-01
